city,site,id,Park_Name,Land_Use,name,Parent,Passive,Private,Disturbed
Cleveland,CLS12,CLP24,,NATIVE,^Au,Anthropogenic over Aeolian Sands,Passive,Private,Disturbed
Cleveland,CLS13,CLP25,,FILL,^C1u,Anthropogenic over Aeolian Sands,Passive,Private,Disturbed
Cleveland,CLS14,CLP27,,FILL,^Au,Anthropogenic over Aeolian Sands,Passive,Private,Disturbed
Cleveland,CLS14,CLP28,,NATIVE,^A1u,Anthropogenic over Aeolian Sands,Passive,Private,Disturbed
Cleveland,CLS15,CLP29,,FILL,^Au,Anthropogenic over Glacial Till over Residual,Passive,Private,Disturbed
Cleveland,CLS15,CLP30,,NATIVE,^Au,Anthropogenic,Passive,Private,Disturbed
Cleveland,CLS16,CLP31,,FILL,^Au,Anthropogenic over Glacial Till,Passive,Private,Disturbed
Cleveland,CLS16,CLP32,,NATIVE,^Au,Anthropogenic over Glacial Till,Passive,Private,Disturbed
Cleveland,CLS17,CLP33,,FILL,^A1u,Anthropogenic over Glacial Till,Passive,Private,Disturbed
Cleveland,CLS17,CLP34,,NATIVE,^A1u,Anthropogenic over Glacial Till over Aeolian,Passive,Private,Disturbed
Cleveland,CLS18,CLP35,,FILL,^Au,Anthropogenic over Glacial Outwash,Passive,Private,Disturbed
Cleveland,CLS18,CLP36,,NATIVE,^Au,Anthropogenic over Aeolian,Passive,Private,Disturbed
Cleveland,CLS19,CLP38,,NATIVE,^Au,Anthropogenic over Residual,Passive,Private,Disturbed
Cleveland,CLS2,CLP3,,FILL,^A,Anthropogenic over Residual,Passive,Private,Disturbed
Cleveland,CLS2,CLP4,,NATIVE,^Au,Anthropogenic over Residual,Passive,Private,Disturbed
Cleveland,CLS20,CLP39,,FILL,^Au,Anthropogenic over Glacial Outwash,Passive,Private,Disturbed
Cleveland,CLS20,CLP40,,NATIVE,^A,Anthropogenic,Passive,Private,Disturbed
Cleveland,CLS21,CLP41,,FILL,^Au,Anthropogenic,Passive,Private,Disturbed
Cleveland,CLS21,CLP42,,NATIVE,^A,Anthropogenic,Passive,Private,Disturbed
Cleveland,CLS22,CLP43,,FILL,^Au,Anthropogenic,Passive,Private,Disturbed
Cleveland,CLS22,CLP44,,NATIVE,^Au,Anthropogenic over Aeolian,Passive,Private,Disturbed
Cleveland,CLS23,CLP45,,FILL,surface,,Passive,Private,Disturbed
Cleveland,CLS23,CLP46,,NATIVE,^Au1,Anthropogenic over Glacial Till,Passive,Private,Disturbed
Cleveland,CLS24,CLP47,,FILL,^C,Anthropogenic over Glacial Till,Passive,Private,Disturbed
Cleveland,CLS24,CLP48,,NATIVE,^A,Anthropogenic over Glacial Till,Passive,Private,Disturbed
Cleveland,CLS25,CLP49,,FILL,^Cu,Anthropogenic over Glacial Till,Passive,Private,Disturbed
Cleveland,CLS25,CLP50,,NATIVE,^A,Anthropogenic over Glacial Till,Passive,Private,Disturbed
Cleveland,CLS26,CLP51,,FILL,^Cu,Anthropogenic over Glacial Till,Passive,Private,Disturbed
Cleveland,CLS26,CLP52,,NATIVE,^A1,Anthropogenic over Glacial Till,Passive,Private,Disturbed
Cleveland,CLS27,CLP53,,FILL,^Au1,Anthropogenic,Passive,Private,Disturbed
Cleveland,CLS27,CLP55,,NATIVE,^A,Anthropogenic over Glacial Till,Passive,Private,Disturbed
Cleveland,CLS28,CLP56,,FILL,^C,Anthropogenic,Passive,Private,Disturbed
Cleveland,CLS28,CLP57,,NATIVE,^Au,Anthropogenic over Glacial Till,Passive,Private,Disturbed
Cleveland,CLS29,CLP58,,FILL,^A1u,Anthropogenic over Glacial Outwash,Passive,Private,Disturbed
Cleveland,CLS29,CLP59,,NATIVE,^Au,Anthropogenic over Glacial Outwash over Aeolian,Passive,Private,Disturbed
Cleveland,CLS3,CLP5,,FILL,^A,Anthropogenic over Glacial Till,Passive,Private,Disturbed
Cleveland,CLS3,CLP6,,NATIVE,^A,Anthropogenic over Glacial Till,Passive,Private,Disturbed
Cleveland,CLS30,CLP60,,FILL,^Au1,Anthropogenic over Glacial Till,Passive,Private,Disturbed
Cleveland,CLS30,CLP61,,NATIVE,^A,Anthropogenic over Glacial Till,Passive,Private,Disturbed
Cleveland,CLS31,CLP62,,FILL,^A1u,Anthropogenic over Till over Residual,Passive,Private,Disturbed
Cleveland,CLS31,CLP63,,NATIVE,^Au,,Passive,Private,Disturbed
Cleveland,CLS32,CLP64,,FILL,^C,Anthropogenic over Till,Passive,Private,Disturbed
Cleveland,CLS32,CLP65,,NATIVE,^C,,Passive,Private,Disturbed
Cleveland,CLS33,CLP66,,FILL,^Au,Anthropogenic over Residual,Passive,Private,Disturbed
Cleveland,CLS33,CLP67,,NATIVE,^Au,Anthropogenic over Till over Residual,Passive,Private,Disturbed
Cleveland,CLS34,CLP68,,FILL,^Au,Anthropogenic over Residual,Passive,Private,Disturbed
Cleveland,CLS34,CLP69,,NATIVE,^Au,Anthropogenic over Residual,Passive,Private,Disturbed
Cleveland,CLS35,CLP70,,FILL,^Au,Anthropogenic over Till over Residual,Passive,Private,Disturbed
Cleveland,CLS35,CLP71,,NATIVE,^Au,Anthropogenic over Till over Residual,Passive,Private,Disturbed
Cleveland,CLS36,CLP72,,FILL,surface,,Passive,Private,Disturbed
Cleveland,CLS36,CLP73,,NATIVE,^Au,Anthropogenic over Lacustrine over Till over Residual,Passive,Private,Disturbed
Cleveland,CLS36,CLP74,,NATIVE,^Au,Anthropogenic over Till over Lacustrine over Residual,Passive,Private,Disturbed
Cleveland,CLS37,CLP75,,FILL,^Au,Anthropogenic over Till,Passive,Private,Disturbed
Cleveland,CLS37,CLP76,,NATIVE,^A1u,Anthropogenic over Outwash over Residual,Passive,Private,Disturbed
Cleveland,CLS38,CLP77,,FILL,^Au,Anthropogenic over Residual,Passive,Private,Disturbed
Cleveland,CLS38,CLP78,,NATIVE,^Au,Anthropogenic over Outwash over Residual,Passive,Private,Disturbed
Cleveland,CLS39,CLP79,,FILL,^Au,Anthropogenic over Residual,Passive,Private,Disturbed
Cleveland,CLS39,CLP80,,NATIVE,^Au,Anthropogenic over Till over Residual,Passive,Private,Disturbed
Cleveland,CLS4,CLP7,,FILL,^Au,Anthropogenic over Lacustrine,Passive,Private,Disturbed
Cleveland,CLS4,CLP8,,NATIVE,^A,Anthropogenic over Lacustrine,Passive,Private,Disturbed
Cleveland,CLS40,CLP81,,FILL,^A1u,Anthropogenic over Till,Passive,Private,Disturbed
Cleveland,CLS40,CLP82,,NATIVE,^A1u,Anthropogenic over Till over Residual,Passive,Private,Disturbed
Cleveland,CLS41,CLP83,,FILL,^A,Anthropogenic over Residual,Passive,Private,Disturbed
Cleveland,CLS41,CLP84,,NATIVE,^A1u,Anthropogenic over Outwash over Till,Passive,Private,Disturbed
Cleveland,CLS42,CLP85,,FILL,^Au,Anthropogenic over Residual,Passive,Private,Disturbed
Cleveland,CLS42,CLP86,,NATIVE,^Au,Anthropogenic over Residual,Passive,Private,Disturbed
Cleveland,CLS43,CLP87,,FILL,^Au,Anthropogenic over Residual,Passive,Private,Disturbed
Cleveland,CLS43,CLP88,,NATIVE,^Au,Anthropogenic over Outwash over Till,Passive,Private,Disturbed
Cleveland,CLS44,CLP89,,FILL,^C1u,Anthropogenic over Outwash over Residual,Passive,Private,Disturbed
Cleveland,CLS44,CLP90,,NATIVE,^A,Anthropogenic over Outwash over Residual,Passive,Private,Disturbed
Cleveland,CLS45,CLP91,,FILL,^Au,Anthropogenic over Outwash over Residual,Passive,Private,Disturbed
Cleveland,CLS45,CLP92,,NATIVE,^A,Anthropogenic over Outwash over Residual,Passive,Private,Disturbed
Cleveland,CLS46,CLP93,,FILL,^A1u,Anthropogenic over Residual,Passive,Private,Disturbed
Cleveland,CLS46,CLP94,,NATIVE,^Au,Anthropogenic over Outwash over Residual,Passive,Private,Disturbed
Cleveland,CLS47,CLP95,,FILL,^Au,Anthropogenic over Outwash over Residual,Passive,Private,Disturbed
Cleveland,CLS47,CLP96,,NATIVE,^Au,Anthropogenic over Outwash over Residual,Passive,Private,Disturbed
Cleveland,CLS48,CLP97,,FILL,^A1,Anthropogenic over Residual,Passive,Private,Disturbed
Cleveland,CLS48,CLP98,,NATIVE,^A1u,Anthropogenic over Outwash,Passive,Private,Disturbed
Cleveland,CLS49,CLP100,,NATIVE,^A1u,Anthropogenic over Outwash over Residual,Passive,Private,Disturbed
Cleveland,CLS49,CLP99,,FILL,^Cu,Anthropogenic over Outwash over Residual,Passive,Private,Disturbed
Cleveland,CLS5,CLP10,,NATIVE,^A1u,Anthropogenic over Residual,Passive,Private,Disturbed
Cleveland,CLS5,CLP9,,FILL,^A1u,Anthropogenic over Residual,Passive,Private,Disturbed
Cleveland,CLS50,CLP101,,FILL,^Au,Anthropogenic over Residual,Passive,Private,Disturbed
Cleveland,CLS50,CLP102,,NATIVE,^Au,Anthropogenic over Outwash over Residual,Passive,Private,Disturbed
Cleveland,CLS51,CLP103,,FILL,^Au,Anthropogenic over Outwash over Residual,Passive,Private,Disturbed
Cleveland,CLS51,CLP105,,FILL,^Au,Anthropogenic,Passive,Private,Disturbed
Cleveland,CLS51,CLP107,,NATIVE,^Au,Anthropogenic over Outwash over Residual,Passive,Private,Disturbed
Cleveland,CLS54,CLP112,Glenville Recreation Area,FILL,^A,Anthropogenic over Residual,Passive,Public,Disturbed
Cleveland,CLS54,CLP113,Glenville Recreation Area,FILL,^A1,Anthropogenic over Aeolian over Outwash,Passive,Public,Disturbed
Cleveland,CLS55,CLP114,Orr Park,NATIVE,^C1,Anthropogenic,Passive,Public,Disturbed
Cleveland,CLS56,CLP115,Rockefeller Park Lagoon,NATIVE,^A,Anthropogenic over Glacial Outwash over Sandy Glacial Outwash',Passive,Public,Disturbed
Cleveland,CLS56,CLP116,Rockefeller Park Lagoon,NATIVE,,,Passive,Public,Disturbed
Cleveland,CLS57,CLP117,Carrie Cain Playground,NATIVE,^Au,Anthropogenic over Aeolian Sands,Passive,Public,Disturbed
Cleveland,CLS58,CLP119,Sam Miller Park,NATIVE,^A,Anthropogenic over Aeolian Sands,Passive,Public,Disturbed
Cleveland,CLS58,CLP120,Sam Miller Park,NATIVE,^A,Anthropogenic over Aeolian Sands,Passive,Public,Disturbed
Cleveland,CLS59,CLP121,Hyacinth Park,NATIVE,^A,Anthropogenic over Lacustrine over Aeolian Sands,Passive,Public,Disturbed
Cleveland,CLS6,CLP11,,FILL,^Au,Anthropogenic over Aeolian Sands,Passive,Public,Disturbed
Cleveland,CLS6,CLP12,,NATIVE,^A1,Anthropogenic over Aeolian Sands,Passive,Public,Disturbed
Cleveland,CLS60,CLP123,Tremont Valley Playfield,NATIVE,^Au,Anthropogenic over Glacial Outwash,Passive,Public,Disturbed
